track_id,HaloCatalogueIndex,corrected_bh_mass,first_snapshot_with_bh
1488567,1488567,124660.0078125,GalaxyProperties_SFR_GE_0_z0.0.txt
5575791,5575791,97302128.0,GalaxyProperties_SFR_GE_0_z0.0.txt
16441672,16441672,569533.9375,GalaxyProperties_SFR_GE_0_z0.0.txt
746151,746151,27909544.0,GalaxyProperties_SFR_GE_0_z0.0.txt
61613518,61613518,252894.5,GalaxyProperties_SFR_GE_0_z0.0.txt
7954023,7954023,275532.875,GalaxyProperties_SFR_GE_0_z0.0.txt
356847,356847,331830.9375,GalaxyProperties_SFR_GE_0_z0.0.txt
1070,1070,63298.09375,GalaxyProperties_SFR_GE_0_z0.0.txt
423561,423561,119298.2890625,GalaxyProperties_SFR_GE_0_z0.0.txt
878767,878767,3617374.25,GalaxyProperties_SFR_GE_0_z0.0.txt
4112355,4112355,323323680.0,GalaxyProperties_SFR_GE_0_z0.0.txt
10475645,10475645,487320.84375,GalaxyProperties_SFR_GE_0_z0.0.txt
64108,64108,62330.00390625,GalaxyProperties_SFR_GE_0_z0.0.txt
2854103,2854103,718470.625,GalaxyProperties_SFR_GE_0_z0.0.txt
1496352,1496352,16223376.0,GalaxyProperties_SFR_GE_0_z0.0.txt
4124551,4124551,6567512.5,GalaxyProperties_SFR_GE_0_z0.0.txt
12744016,12744016,479576.15625,GalaxyProperties_SFR_GE_0_z0.0.txt
26213036,26213036,162936.734375,GalaxyProperties_SFR_GE_0_z0.0.txt
353524,353524,4813634.0,GalaxyProperties_SFR_GE_0_z0.0.txt
1484277,1484277,5509466.0,GalaxyProperties_SFR_GE_0_z0.0.txt
9804904,9804904,322299.0,GalaxyProperties_SFR_GE_0_z0.0.txt
473,473,46973440.0,GalaxyProperties_SFR_GE_0_z0.0.txt
5578098,5578098,112553248.0,GalaxyProperties_SFR_GE_0_z0.0.txt
6308,6308,68096240.0,GalaxyProperties_SFR_GE_0_z0.0.txt
