track_id,logM,logR,compactness,MgFe,lum_age_gyr,log_ssfr,DoR
1254,10.748091,0.69339436,9.707999,0.15074939,8.435344,,0.2517489964084587
1075,11.194902,0.9230924,9.810264,0.26163033,10.883832,,0.1836316510873817
319891,9.90541,0.58319384,9.030619,0.08240672,3.321883,-10.147973473165933,0.1880496610849205
1276086,10.135611,0.62599987,9.19661,0.12882903,1.5694963,-9.594245191172018,0.0985789856081093
59178,9.829588,0.6533421,8.849575,0.13068044,1.9520729,-9.838069151160536,0.2247026795259106
4357,10.515821,0.56912637,9.662132,0.092974104,4.553592,-10.640286234596305,0.2184280998895878
684645,10.75171,0.45010453,10.076553,0.1291605,7.8381505,,0.1860522034929229
28525,9.651768,0.38148946,9.079534,0.14247197,7.50223,,0.2505614803005931
158168,10.409768,0.5896343,9.525316,0.09250466,4.016119,-10.20739560108296,0.2431075637784934
549,10.787441,0.33885613,10.279157,0.25071782,10.659885,,0.1552569581239084
113848,9.725879,0.30900136,9.262377,0.119442694,9.151975,,0.3147008174036406
505873,10.131872,0.48400688,9.405862,0.09151163,3.5197031,-10.220893022628482,0.2848855993017264
735446,10.185382,0.512918,9.416005,0.102233715,3.8966806,-10.64866517322078,0.29207203009632
986888,9.871437,0.51342624,9.101297,0.10424756,3.2808259,-10.247423793086618,0.2324515708574075
115357,10.490268,0.53666663,9.685267,0.08636623,4.180347,-10.584768885685389,0.2811481672875409
97114,9.974909,0.5709099,9.118544,0.09483867,2.892651,-9.834523511637816,0.6514035648009217
150616,9.312734,0.35597706,8.778769,0.08720174,6.158547,,0.1668213596228623
31563,11.175421,0.72882724,10.08218,0.19013494,9.689447,,0.5038112524873163
68551,9.84862,0.3849172,9.271245,0.11404302,6.322775,-11.089853664831436,0.1985289668918099
4630,10.270515,0.4302648,9.625118,0.08457648,6.8453183,-10.589169824638514,0.3603326474391788
34442,10.851135,0.5466618,10.031142,0.13543406,9.122114,,0.5871701525815973
68591,9.902236,0.438189,9.244952,0.09453491,4.232601,-10.124904749641637,0.255399716269203
68902,10.738909,0.36249703,10.195164,0.14969677,9.301272,,0.3340715310046429
162217,10.601843,0.46851447,9.899071,0.15920839,9.301272,,0.2150956590136246
34979,10.24185,0.112939,10.072441,0.37327138,12.570901,,0.1344958719771586
107444,9.098385,0.72634554,8.008866,0.21878898,9.525219,,0.3150251543686482
115381,9.247161,0.5513418,8.420148,0.10962262,7.181239,,0.1183322214044628
41125,10.271878,0.54619104,9.452592,0.0922379,2.7918746,-10.025840653234901,0.1162049644798558
380819,10.276836,0.2712128,9.870017,0.15068144,9.793956,,0.4033891282140107
368166,9.385245,0.42469287,8.748206,0.13063538,4.7551446,-10.671632352634294,0.3187224874809727
71384,9.906988,0.40818262,9.294714,0.11509099,7.352932,,0.2556744720889569
1080,11.571636,1.1702919,9.816198,0.26091656,9.808886,-11.33578868834552,0.1410104565757539
24557,9.899572,0.25906706,9.510972,0.33029014,12.541041,,0.2932039322594473
450952,9.047338,0.20263638,8.743383,0.13287205,2.0229895,-9.33318961952694,0.18832694030974
456418,10.378294,0.55735123,9.542267,0.09204624,4.2997856,-10.399396852873593,0.2611910679562392
315018,11.098317,0.6555448,10.115,0.12986487,9.331131,-12.289406237408164,0.3964275722856327
230447,10.758267,0.5564321,9.923619,0.1877116,8.73394,,0.1665889453090732
29125,10.62577,0.5113897,9.8586855,0.15797505,8.196466,,0.6846774854043695
1459,9.725081,0.35231212,9.196613,0.092566796,6.472073,-11.785118919206342,0.3396763761574535
979716,9.980708,0.38628078,9.401287,0.10028393,3.4487865,-9.950271057007706,0.2209922898101866
10967,10.255243,0.6642455,9.258875,0.09599026,3.5644922,-9.821113535675266,0.2555091908147726
2338469,9.721876,0.5447756,8.904713,0.11236926,1.7486541,-9.668284285562052,0.1923235276018631
163537,10.078681,0.58015525,9.208448,0.11717387,2.489546,-9.939098876391736,0.2807237186519766
67351,10.432902,0.64516866,9.465149,0.093350284,3.7287204,-10.01541378327488,0.1818671040672235
12889,10.652241,0.5695729,9.797881,0.081030495,5.7479773,-10.372313255964038,0.1673377988442134
70643,10.75945,0.50418556,10.003172,0.0895231,6.7855988,-10.523602205614981,0.1466249114822501
168377,10.472927,0.4459712,9.80397,0.081757,4.829794,-10.277570561788995,0.1556055391301277
5560,11.134616,0.89784986,9.787841,0.19598979,9.928324,-11.784800484258811,0.1748470174416299
61329,9.48572,0.47522187,8.772887,0.097610615,2.8702562,-9.63059896641887,0.1290158436922624
26168,10.451282,0.46568885,9.7527485,0.11139714,2.0229895,-9.725195131905828,0.2831844337232632
688537,10.05841,0.6075846,9.147033,0.11575084,1.5956235,-9.851192492785934,0.1452578015068709
12178,9.096268,0.7105052,8.03051,0.17768183,9.390851,,0.286272977480783
12231,10.6552515,0.59260744,9.76634,0.22145516,10.002974,-11.142552619459906,0.1968577734932565
1559,10.956281,0.6656788,9.957763,0.108907945,7.9874487,-12.7273950946379,0.3227055251720159
