halo_idx,track_id,logM,logR,compactness,DoR_matched,DoR_matched_flag
3851412,3851412,10.012322,0.62599987,9.073322,,0
3852788,3852788,9.832091,0.70203406,8.77904,,0
4392754,4392754,9.7983675,0.35231212,9.269899,,0
4992754,4992754,9.701289,0.67277527,8.692126,,0
5067888,5067888,9.280073,0.509856,8.515289,,0
5648483,5648483,9.110877,0.68251944,8.087098,,0
5650683,5650683,9.068211,0.3617774,8.525544,,0
5651155,5651155,10.448875,0.5428812,9.634554,,0
6368870,6368870,9.406954,0.27737933,8.990885,,0
6370481,6370481,9.187451,0.28646806,8.75775,,0
7992400,7992400,9.677902,0.40493432,9.0705,,0
8675783,8675783,9.516467,0.4690774,8.812851,,0
12603614,12603614,9.54879,0.4196793,8.919271,,0
264953,264953,10.05018,0.31705898,9.574592,,0
1091325,1091325,9.451131,0.4512783,8.774214,,0
4996782,4996782,9.373746,0.6267831,8.433571,,0
5007209,5007209,10.13623,0.6140789,9.215112,,0
266793,266793,10.312529,0.5713547,9.455497,,0
266902,266902,9.915825,0.33042297,9.420191,,0
388607,388607,10.890395,0.7188142,9.812174,,0
388653,388653,11.101013,0.6503877,10.125432,,0
558855,558855,9.435086,0.41076386,8.81894,,0
790119,790119,10.392946,0.51342624,9.622807,,0
1096529,1096529,10.86012,0.70465815,9.803133,,0
1136048,1136048,9.126994,0.7604371,7.9863386,,0
2033478,2033478,10.43602,0.6606414,9.445058,,0
2033769,2033769,9.162668,0.6845794,8.135799,,0
4401697,4401697,9.374641,0.4387926,8.716453,,0
5664213,5664213,9.341664,0.40818262,8.72939,,0
12009923,12009923,9.300176,0.5021051,8.547018,,0
77517,77517,10.464281,0.6852638,9.436385,,0
119802,119802,9.973108,0.4524489,9.294435,,0
266959,266959,9.643177,0.3617774,9.100511,,0
267041,267041,10.796205,0.59765744,9.899718,,0
388527,388527,11.039939,0.6720708,10.031833,,0
558864,558864,10.388117,0.7470012,9.267615,,0
1096445,1096445,9.678791,0.47132182,8.971808,,0
1136125,1136125,10.487517,0.5342525,9.686138,,0
1505816,1505816,9.582768,0.540024,8.772733,,0
4404774,4404774,9.956093,0.48237318,9.232533,,0
5663754,5663754,9.219292,0.67906445,8.200695,,0
580669,580669,9.716209,0.49791405,8.969338,,0
1505710,1505710,9.428024,0.49791405,8.681153,,0
1505971,1505971,10.62577,0.5513418,9.798757,,0
1506047,1506047,10.607739,0.5775338,9.741439,,0
1506641,1506641,9.323433,0.7079162,8.261559,,0
3363675,3363675,9.112516,0.5934532,8.222337,,0
4468151,4468151,9.210243,0.40297362,8.6057825,,0
119795,119795,10.424689,0.6322264,9.47635,,0
180943,180943,9.671175,0.35888693,9.132845,,0
559634,559634,9.45709,0.5062561,8.697706,,0
560337,560337,10.085697,0.6734786,9.0754795,,0
790087,790087,10.288336,0.31944743,9.809165,,0
1559110,1559110,9.584978,0.3016194,9.132549,,0
17385,17385,10.444022,0.26585656,10.045238,,0
17392,17392,11.011827,0.7207093,9.930763,,0
390519,390519,9.823267,0.49580327,9.079562,,0
391957,391957,9.284499,0.41011998,8.669319,,0
793647,793647,10.214791,0.6108439,9.298526,,0
793677,793677,9.314793,0.60594577,8.405874,,0
794008,794008,9.216082,0.2991306,8.7673855,,0
822295,822295,10.48475,0.35524654,9.9518795,,0
1100974,1100974,10.008183,0.483463,9.282988,,0
1101258,1101258,9.378648,0.47020108,8.6733465,,0
1509411,1509411,9.403619,0.59176004,8.515979,,0
1511646,1511646,9.590999,0.41841683,8.963373,,0
2033033,2033033,9.581103,0.5103678,8.815552,,0
2042502,2042502,9.998508,0.29157746,9.561142,,0
6388753,6388753,9.392173,0.4333297,8.742178,,0
2513630,2513630,9.159743,0.5279124,8.367875,,0
8688162,8688162,9.071369,0.5424063,8.25776,,0
78149,78149,9.193602,0.5072877,8.432671,,0
268434,268434,10.515821,0.35597706,9.981855,,0
392230,392230,9.832715,0.4003455,9.232197,,0
121218,121218,9.881577,0.6092173,8.967751,,0
563104,563104,10.399754,0.4271781,9.758986,,0
790967,790967,9.155319,0.31385386,8.684539,,0
2053664,2053664,9.15606,0.5900603,8.270969,,0
396129,396129,10.27459,0.46625546,9.575207,,0
1522400,1522400,9.514527,0.4524489,8.835854,,0
550089,550089,9.4458475,0.53231156,8.64738,,0
550589,550589,9.054407,0.4158808,8.430586,,0
3345609,3345609,9.294295,0.3910198,8.707766,,0
3840230,3840230,9.003372,0.5174709,8.227166,,0
5627876,5627876,9.462238,0.60347587,8.557024,,0
117916,117916,10.04102,0.2418512,9.678244,,0
76456,76456,9.795662,0.5239642,9.009716,,0
76551,76551,10.795118,0.61728996,9.869184,,0
178002,178002,10.876198,0.6776747,9.859686,,0
384308,384308,10.531062,0.39703783,9.935505,,0
551234,551234,9.914278,0.59429735,9.022832,,0
551617,551617,10.587178,0.31944743,10.108007,,0
553912,553912,9.635886,0.5288938,8.8425455,,0
573338,573338,10.319083,0.43454963,9.667259,,0
782492,782492,9.946131,0.6503877,8.97055,,0
782861,782861,10.3908825,0.38011074,9.820717,,0
1087771,1087771,9.64797,0.2941098,9.206805,,0
1087793,1087793,10.362394,0.37594813,9.798472,,0
1088609,1088609,10.168459,0.6196827,9.2389345,,0
1489411,1489411,10.589802,0.61728996,9.663867,,0
2015068,2015068,9.471641,0.30900136,9.008139,,0
2015387,2015387,10.146637,0.61003137,9.23159,,0
2016865,2016865,9.379534,0.4812806,8.657613,,0
2495978,2495978,9.78397,0.4807333,9.06287,,0
3350932,3350932,9.910648,0.5904859,9.0249195,,0
4390893,4390893,9.625468,0.38696095,9.045027,,0
5641234,5641234,9.116587,0.560553,8.275757,,0
6357279,6357279,9.252526,0.40297362,8.648066,,0
7134178,7134178,9.477327,0.48887146,8.74402,,0
76443,76443,9.478033,0.48400688,8.752023,,0
263896,263896,10.453674,0.4459712,9.784718,,0
551501,551501,9.754405,0.5083168,8.99193,,0
782181,782181,10.578762,0.525449,9.790588,,0
2903697,2903697,10.27549,0.4942134,9.53417,,0
9731378,9731378,9.112516,0.5361849,8.308239,,0
14493924,14493924,9.123818,0.57046473,8.268122,,0
16963,16963,10.129991,0.6734786,9.119773,,0
42258,42258,10.927601,0.6406447,9.966634,,0
43151,43151,11.169493,0.8820556,9.846409,,0
118354,118354,10.747485,0.44478297,10.080311,,0
187489,187489,9.70632,0.40100402,9.104814,,0
551457,551457,10.262715,0.413969,9.641762,,0
551596,551596,10.539466,0.59849346,9.641726,,0
1088398,1088398,10.022906,0.5057394,9.2642975,,0
1092401,1092401,10.173037,0.50106114,9.421445,,0
1490354,1490354,9.4548645,0.5541257,8.623676,,0
2015478,2015478,9.424051,0.7343597,8.322512,,0
3841765,3841765,9.960294,0.42531553,9.322321,,0
124368,124368,9.776234,0.46341506,9.081111,,0
386338,386338,11.346501,0.97800815,9.879489,,0
555134,555134,10.082203,0.41715068,9.456477,,0
555210,555210,9.674776,0.4302648,9.029379,,0
555225,555225,10.436641,0.62206244,9.503547,,0
555242,555242,11.296036,0.93863237,9.888087,,0
555272,555272,10.463116,0.49738732,9.717034,,0
555309,555309,9.298579,0.5298731,8.50377,,0
555427,555427,10.33973,0.3937048,9.749173,,0
556274,556274,9.91531,0.48400688,9.1893,,0
783276,783276,9.752161,0.37033522,9.196658,,0
783605,783605,9.895278,0.5249546,9.107846,,0
784928,784928,9.594248,0.44656408,8.924401,,0
1091674,1091674,10.7547035,0.6188866,9.826374,,0
1092413,1092413,10.395681,0.340372,9.885123,,0
1092607,1092607,9.050652,0.50053823,8.299844,,0
1132160,1132160,10.399077,0.46170187,9.706525,,0
1495858,1495858,9.046387,0.6755817,8.033014,,0
1495892,1495892,9.907513,0.3016194,9.455084,,0
1501458,1501458,9.265944,0.5239642,8.479998,,0
1501971,1501971,10.782992,0.49101615,10.046468,,0
2024017,2024017,9.188826,0.43210635,8.540667,,0
2026142,2026142,9.5177555,0.57621706,8.65343,,0
2500037,2500037,9.889303,0.44239673,9.225708,,0
2961103,2961103,9.873711,0.5673355,9.022707,,0
5732587,5732587,10.166152,0.47577617,9.452488,,0
386236,386236,9.420846,0.45419893,8.739548,,0
783579,783579,9.080269,0.40100402,8.478763,,0
2915269,2915269,9.295907,0.48563448,8.567455,,0
2960653,2960653,9.520322,0.57046473,8.664625,,0
3909789,3909789,9.444326,0.4785371,8.726521,,0
4459386,4459386,9.271084,0.4690774,8.567468,,0
10291016,10291016,9.299112,0.5840581,8.423025,,0
278099,278099,10.10476,0.5279124,9.312892,,0
