HaloCatalogueIndex,DoR,logM,logR,compactness,exsitu_frac
496129,0.6820498448598892,10.065759,0.16465886,9.81877,0.04463811900099312
77613,0.616261287245523,10.177567,0.1549119,9.945199,0.0746418575908398
12185,0.6501444509825213,10.537994,0.6548118,9.555777,0.30263034898539126
87007,0.6390490587279235,11.001137,0.9821707,9.527881,0.727497271106097
16955,0.6093009881349091,10.56189,0.46738642,9.86081,0.2729268093245872
23249,0.6910466717245218,10.35497,0.45419893,9.673672,0.017644145290303042
23328,0.6325683073057371,10.170181,0.20263638,9.866227,0.696472891649774
100221,0.7144579189526166,10.163251,0.1298495,9.968476,0.002196212192828496
229037,0.627827642640436,10.594141,0.40947515,9.979928,0.04673706022728335
229539,0.6364485035977898,10.413711,0.33042297,9.9180765,0.03309281851836258
230061,0.6299293725877742,10.314998,0.6474131,9.343878,0.19494133102202507
492195,0.6102281962673806,9.78397,0.13776258,9.577326,0.003999628951269492
3070295,0.6288626943285041,9.355437,0.012018847,9.337409,0.008478237859896959
4675449,0.6354062622942463,9.4405,-0.031595297,9.487893,0.0
4679778,0.6001942545673514,10.262715,0.25355795,9.882379,0.022575777803876856
2226,0.664697544972055,10.691913,0.19741014,10.395798,0.19358256671669768
11518,0.6773868908797168,10.811127,0.83624977,9.556752,0.5317671514020326
435755,0.653036736824823,10.010672,0.058581334,9.9228,0.0021954015696943052
436157,0.632480981104096,10.427867,0.4459712,9.75891,0.7425718400904932
1782066,0.7404743771822154,10.2659445,0.25355795,9.885608,0.002448264461147175
8057005,0.6787278566633401,9.2108965,-0.04793432,9.282798,0.0012810839951224284
10571683,0.6680773258759971,10.459599,0.2234297,10.124454,0.10055173918099156
13736,0.6507552584864124,10.086392,0.41332987,9.466397,0.008553571760498532
1283,0.6363664465748146,9.859886,0.13229969,9.661437,0.04618710647925022
215760,0.6355447257667793,10.555802,0.413969,9.934849,0.06999812513907891
995106,0.6802090174058896,10.57562,0.18945095,10.291443,0.18597565376042358
1011731,0.6443797003773413,10.317454,0.28475147,9.890327,0.03550995115514227
26620,0.6173019414010313,9.851614,0.51444095,9.079952,0.008796013068432685
25850,0.6657124844476187,10.675761,0.35231212,10.147293,0.11959869809107086
9581,0.6915810848661282,9.937406,0.1261481,9.748183,0.002816164237836017
185825,0.6589066725443175,9.867429,0.07212073,9.759248,0.0018676386903800765
83855,0.6538871999543966,10.24039,0.43939537,9.581297,0.23694723733113052
415368,0.6877238228986977,10.413056,0.3426359,9.899102,0.0562165312167714
884010,0.6028653478303433,10.69329,0.3218228,10.210556,0.14854591435998843
1699510,0.652445029846908,10.594141,0.2512417,10.2172785,0.30788281630896613
884395,0.6390632154935596,10.381124,0.38559952,9.802724,0.06588012792008882
1085,0.7154140447221113,10.20167,0.5103678,9.436118,0.11099005717775856
436370,0.6540751918889693,9.156799,0.4158808,8.532978,0.040742812736660014
14295,0.6245153530793502,10.357211,0.77123106,9.200365,0.16172390807068712
1415,0.6206592467390807,11.08122,0.606766,10.171071,0.40113540640557066
503453,0.623574460789296,10.883354,0.41524446,10.260488,0.4591712642779405
9952,0.6148557942710099,10.524016,0.42219332,9.890726,0.24482663268504226
12172,0.6559461671706917,10.67361,0.5337681,9.872957,0.4290068812745528
423945,0.6160925936924683,10.489719,0.19212025,10.201539,0.12170630518049781
481813,0.6063854464961596,10.340506,0.4296492,9.696032,0.06000550665575697
9046,0.6074931403874908,10.472927,0.7416284,9.360484,0.1128339825372504
415381,0.6453416373556711,10.15324,0.15780142,9.916538,0.029688034830468554
7598,0.7014676441642759,9.52793,-0.13073821,9.724037,0.0006176595065849973
8411,0.6602161561269901,10.35944,0.3380962,9.852296,0.19218428043218172
10640,0.6921869778106973,9.795662,0.12861921,9.602733,0.006439060790519351
80788,0.6622087069885517,9.622445,-0.080581754,9.743318,0.0017639471297673872
80976,0.6033654774044561,9.697052,-0.07611724,9.811228,0.004904024865541053
189514,0.6548322989200139,9.587177,-0.12297282,9.771637,0.0011149521486400798
189629,0.69951897542127,9.832091,-0.08812615,9.96428,0.0
189716,0.6626176341494049,10.26364,0.19424395,9.972275,0.0030511432237277807
190293,0.7092008799549306,10.164994,0.15258636,9.936114,0.005008977033520268
413656,0.6699043556650096,9.761804,-0.03070535,9.807861,0.005147136241755912
1648535,0.6011675726480279,10.426599,0.40297362,9.822138,0.1461016067093307
10925,0.6026098339967293,9.872006,0.2873238,9.441021,0.027604042432384443
1703813,0.6366114684190697,10.287899,0.25906706,9.899299,0.03392448478892057
83271,0.684790105962043,10.467182,0.39034596,9.881663,0.04897591753413155
16180,0.612667007865855,10.342821,0.7695445,9.188504,0.4931088173155801
471061,0.6833864921403746,10.268236,0.18460447,9.991329,0.04494714416055884
22287,0.6216952430037197,10.341279,0.5870696,9.460674,0.06557525676393931
1896059,0.6838720708795906,10.020487,0.16748446,9.76926,0.001096889365869851
1970,0.6209475595063677,10.5462675,0.51696736,9.770817,0.14080902657381772
