soap_index,sgn,track_id,compactness,mass,r50_kpc,MgFe,lum_age_gyr,log_ssfr,DoR_choice
53667,160652,160652,9.471186637878418,7252211200.0,1.8177032470703125,0.36306143693778214,12.451461791992188,,0.0897734815576787
53924,507774,507774,9.429248809814453,8277086208.0,2.117156982421875,0.07460503840537769,5.3971266746521,-10.419903200872199,0.3326147666664812
54357,344877,344877,9.513650894165039,8364932608.0,1.873016357421875,0.1336951312314726,10.391148567199707,,0.1624321131317637
54395,248613,248613,8.577951431274414,3440652032.0,4.35638427734375,0.15149310772110294,1.765450119972229,-9.601179597700986,0.3403376226606847
54905,38283,38283,8.993308067321777,5739300352.0,3.238677978515625,0.09341131487344417,3.978794813156128,-9.878915139513763,0.11092874042765
55000,143,143,9.683619499206543,42166288384.0,4.241943359375,0.090769274511494,3.340545177459717,-10.222581718479812,0.2441807190526876
55851,25289,25289,10.151899337768555,66607120384.0,2.803802490234375,0.09836765376683348,8.763799667358398,,0.2737871982421091
55853,59701,59701,9.782252311706543,35177615360.0,3.231048583984375,0.19580096883291423,11.092849731445312,,0.2442360581780703
55972,9598,9598,8.798555374145508,3723712768.0,3.27301025390625,0.10492747185397464,2.7358877658843994,-9.975563636638105,0.2285650435742131
56978,1349575,1349575,8.587209701538086,2369413632.0,3.34930419921875,0.1388404319699316,2.265598773956299,-9.63350271850918,0.2586963865846166
57277,354538,354538,10.065511703491211,37676359680.0,2.18963623046875,0.1787536009528289,8.39055347442627,-13.414258538440208,0.0999273219309596
57415,239929,239929,8.330302238464355,1386021504.0,3.475189208984375,0.11640541716997155,5.4120564460754395,,0.151907738939778
58203,250005,250005,9.021002769470215,7447425536.0,3.692626953125,0.0906429088478174,2.993427276611328,-9.889630993187618,0.17058268844085
59768,1144,1144,9.193824768066406,35529003008.0,8.026123046875,0.21131833253999252,10.853973388671875,,0.124486933033963
60045,60543,60543,8.40507698059082,1227409920.0,2.857208251953125,0.11775401585884854,2.1013708114624023,-9.81110577925847,0.3315461459565825
60470,329041,329041,8.921095848083496,6324943360.0,3.8604736328125,0.21676402365134653,9.18183422088623,,0.1390757992834073
60691,4041,4041,9.969917297363281,21512615936.0,1.7452239990234375,0.2941863597049189,11.854269027709961,-12.04684045563889,0.2427965690045709
60885,64040,64040,9.926477432250977,40448401408.0,2.841949462890625,0.08916106652555925,3.7959043979644775,-10.155174216629902,0.3127094315143607
62340,166815,166815,8.877532005310059,3221036032.0,2.63214111328125,0.12592241193544076,2.019257068634033,-9.47344239744745,0.2515514128662194
62704,37833,37833,9.515522003173828,20536545280.0,3.398895263671875,0.19158159222245072,11.286937713623047,,0.4401845404132655
62782,168222,168222,8.343195915222168,1878937600.0,4.17327880859375,0.17456504664272102,1.5284394025802612,-9.594883362661077,0.0772713011165029
62938,74342,74342,9.807321548461914,33889202176.0,3.032684326171875,0.24096265268634412,9.77902603149414,-12.212216229668543,0.3259781466569095
