subhalo_id,DoR,logM,logR,compactness,MgFe,lum_age_gyr,log_ssfr,exsitu_frac
394025,0.1012559016283109,10.11268,0.5814601,9.24049,0.0821257,2.6761687,-9.894588,
4323932,0.2606987268103748,9.468048,0.29495063,9.025622,0.046219654,8.569712,,
7802478,0.1755964474331564,9.3968725,0.631453,8.449693,0.085080154,5.3075476,-10.245882,
13342204,0.1119850212928044,9.978487,0.42655814,9.33865,0.08713909,5.3150125,-10.390887,
395243,0.065427260144643,9.178411,0.45419893,8.497112,0.1026667,3.1389925,-9.998535,
10282573,0.0831269472848407,9.370145,0.48563448,8.641693,0.09378863,3.3293478,-9.9527645,
27334337,0.0735631876915628,9.353563,0.6649627,8.356119,0.11101169,2.482081,-10.131796,
395786,0.3518317573902771,10.801593,0.6108439,9.885327,0.22092485,9.689447,-12.205829,
825497,0.0794226743860573,9.638817,0.33427653,9.137402,0.0790231,3.0568788,-9.800266,
825535,0.0768411783179361,9.654593,0.49527395,8.911682,0.072835885,3.1016684,-9.785008,
1639569,0.11943197832694,10.070108,0.34712866,9.549416,0.06682371,3.710058,-9.964386,
3113385,0.2368497967001697,10.36313,0.4177842,9.736453,0.11356906,8.136747,-11.661063,
3113513,0.127239001613222,9.493273,0.33350855,8.99301,0.08656589,5.203039,-11.288039,
3113842,0.1795063360295342,9.359161,0.43576613,8.705512,0.06489896,7.1065903,-10.569508,
5863377,0.1127669894085243,9.345985,0.4459712,8.677029,0.08398775,5.203039,-10.520187,
7812798,0.0977257168878106,9.780471,0.53231156,8.982003,0.074424125,1.9856648,-9.708172,
7814243,0.0760156315819575,9.668455,0.40428174,9.062033,0.09328022,3.2546988,-10.116694,
17161270,0.1009359973076403,9.393031,0.7464075,8.27342,0.1184795,3.2733612,-9.933247,
17162074,0.0757236635497544,9.128573,0.5139339,8.357673,0.12941834,1.9371431,-9.525487,
813496,0.6301922653218894,10.863383,0.55735123,10.027356,0.26832327,11.361587,-13.067862,
813520,0.1190958940964292,9.923475,0.51087904,9.157157,0.07440468,4.411759,-10.339474,
3075773,0.1405839805496208,9.02641,0.62521523,8.088587,0.114344575,2.2954586,-9.739124,
7760962,0.1220418740370975,9.642694,0.5490081,8.819182,0.06901383,3.698861,-9.995583,
13278125,0.0991521443508993,9.041598,0.48400688,8.315588,0.110472135,2.3925023,-9.563451,
814708,0.160451400640328,9.361934,0.36892056,8.808553,0.05490198,5.8898106,-10.376394,
5834519,0.0721398074983779,9.021395,0.6993939,7.972304,0.14937586,2.060314,-9.586349,
